id;screen_name;name;created_at;full_text
1,72517E+18;gptournier;Guillaume Tournier;2023-11-16 16:13:18 +01:00;@ENGIEpartFR \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\nPour le numéro 1 du service client c’est dommage
1,72868E+18;jouanetwan;Jouan Etwan 💚💛;2023-11-26 08:34:34 +01:00;Bonjour @ENGIEpartSAV , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.
1,73784E+18;vince_thouvenin;thouvenin;2023-12-21 15:27:08 +01:00;@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX  !
1,74049E+18;BiduleAnatheme;Anathème Bidule;2023-12-28 22:32:58 +01:00;@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.
1,74068E+18;vince_thouvenin;thouvenin;2023-12-29 11:08:10 +01:00;"@ENGIEpartSAV retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients..."
1,74069E+18;dionombo;Zawarudo 😈;2023-12-29 12:13:42 +01:00;@ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....
1,74071E+18;hawaien88;hawaien88;2023-12-29 13:16:46 +01:00;Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nC’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo
1,74073E+18;hawaien88;hawaien88;2023-12-29 15:01:48 +01:00;@ENGIEpartSAV Et c’est si compliqué d’expliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il n’y aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?
1,7411E+18;Petit20850206;Petit;2023-12-30 14:55:44 +01:00;@ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?
1,7418E+18;Jules_brdn;🇷🇸 Ajde Ana! 🇷🇸;2024-01-01 13:45:32 +01:00;@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!
1,74187E+18;fhureau;François Hureau 🐦;2024-01-01 17:59:03 +01:00;Bonjour @ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la @CRE_energie  est passé de 0,10406€ à 0,09990€/KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? Quelle est votre formule d'indexation ?
1,74213E+18;AmirRamires;Ramirez;2024-01-02 11:24:08 +01:00;@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nEn plein mois de janvier ou les températures sont basses !
1,74248E+18;AnneCremer2;Anne Cremer;2024-01-03 10:19:30 +01:00;@ENGIEpartFR : j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait : impossible sur votre site.
1,74256E+18;Eurpbo2016;Pbo;2024-01-03 15:40:58 +01:00;@ENGIEpartFR bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures.\nComment faire ?\nMerci
1,74283E+18;hawaien88;hawaien88;2024-01-04 09:33:30 +01:00;@ENGIEpartSAV Vous m’avez demandé de venir en privé pour qu’on ne voit pas que vous ne répondez plus. Ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre à décembre. J’attends toujours une explication.
1,74289E+18;bbast____;Bastos en brr;2024-01-04 13:31:53 +01:00;N’ayant pas Twitter je passe par le compte d’un proche pour solliciter @ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ?
1,7429E+18;chiquitamala;marga;2024-01-04 14:34:11 +01:00;@ENGIEpartSAV @ENGIEpartFR sommes arrivés à 624.32,  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.
1,74318E+18;WhoCares188;ÇA GIIIIIIVE🫦;2024-01-05 08:55:39 +01:00;Comme les afficher c’est ce qui marche, @ENGIEpartSAV @ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que j’attends mes sous!!!
1,74321E+18;OPredhomme;Olivier Predhomme;2024-01-05 10:52:06 +01:00;.@ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus d’eau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? C’est quoi ce service client??? @ENGIEgroup
1,74365E+18;AykCtk;PoAyko;2024-01-06 16:07:35 +01:00;@ENGIEpartFR Bonjour,\nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriez-vous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280€ pour le mois de novembre ? App. de 67m2 entièrement refait à neuf
1,74374E+18;Bonheur151;Bonheur15;2024-01-06 22:15:38 +01:00;@BrunoLeMaire  deux questions: « moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ? »@ENGIEgroup augmenter l’abonnement de 35% c’est à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs … J’attends vos retours ! https://t.co/iMj6ybI3lb
1,74443E+18;jouanetwan;Jouan Etwan 💚💛;2024-01-08 20:01:43 +01:00;@ENGIEpartSAV Bonjour @ENGIEpartSAV , l’appli #monpilotageelec   Nouveau bug, il fait -3 degrés #engie
1,74444E+18;blacklicorne2;Blacklicorne;2024-01-08 20:05:22 +01:00;@ENGIEpartSAV #monpilotageelec Bonsoir. L appli ne fonctionne pas ce soir: testé sur plusieurs téléphones. Dès qu il fait froid on dirait que les serveurs plantent.
1,74444E+18;Deer174229;Bridget Jones^^🧡(Journalisme)🇫🇷🇪🇺🇺🇦;2024-01-08 20:18:30 +01:00;C'est quand même curieux @ENGIEpartFR \n, chaque fois qu'il y a une vague de températures négatives, l'application mon pilotage élec est en rade. Ça fait 3 fois depuis le début de l'hiver. Le pire c'est qu'on te dit que tu n'es pas connecté à internet. Je suis en 5ghz 😂 https://t.co/ZmiPfyVIlV
1,74447E+18;CloBusnel;Chloé Marchand;2024-01-08 22:20:58 +01:00;Merci @ENGIEpartFR pour son appli de réglage de chauffage connecté qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas âge !!!!
